17,38,95
1,30,35
29,68,13
31,4,59
88,78,62
52,85,39
67,17,37
18,64,18
82,91,99
42,81,1
34,52,6
54,46,20
14,87,49
9,30,48
15,1,10
18,86,67
45,92,84
35,59,91
70,23,6
17,58,77
17,51,20
57,38,66
64,76,7
63,90,69
8,97,43
34,55,88
8,10,83
84,69,35
49,52,36
11,63,67
90,51,67
43,4,69
41,52,6
89,100,79
100,34,10
48,81,11
33,56,89
26,24,95
74,19,23
9,95,41
70,95,63
76,80,52
84,22,38
93,19,79
33,2,30
39,66,35
45,7,33
74,29,70
28,40,74
54,81,89
54,81,69
87,43,29
22,8,29
27,91,41
40,23,30
90,41,89
39,98,38
94,63,81
3,11,20
73,2,29
71,77,62
16,41,1
12,13,6
57,54,41
87,84,32
28,63,13
36,42,89
47,61,77
12,2,59
59,86,84
81,66,21
37,39,73
27,99,78
60,97,5
8,31,82
77,80,95
21,68,20
97,8,60
65,15,82
49,54,36
52,29,60
80,47,93
80,56,37
9,42,31
5,38,22
41,100,18
60,86,6
2,12,99
56,55,62
100,63,54
20,14,36
6,10,47
42,17,21
50,81,1
27,45,60
96,26,63
25,69,7
91,39,17
1,34,57
14,90,17
