(16,37,94)
(0,29,34)
(28,67,12)
(30,3,58)
(87,77,61)
(51,84,38)
(66,16,36)
(17,63,17)
(81,90,98)
(41,80,0)
(33,51,5)
(53,45,19)
(13,86,48)
(8,29,47)
(14,0,9)
(17,85,66)
(44,91,83)
(34,58,90)
(69,22,5)
(16,57,76)
(16,50,19)
(56,37,65)
(63,75,6)
(62,89,68)
(7,96,42)
(33,54,87)
(7,9,82)
(83,68,34)
(48,51,35)
(10,62,66)
(89,50,66)
(42,3,68)
(40,51,5)
(88,99,78)
(99,33,9)
(47,80,10)
(32,55,88)
(25,23,94)
(73,18,22)
(8,94,40)
(69,94,62)
(75,79,51)
(83,21,37)
(92,18,78)
(32,1,29)
(38,65,34)
(44,6,32)
(73,28,69)
(27,39,73)
(53,80,88)
(53,80,68)
(86,42,28)
(21,7,28)
(26,90,40)
(39,22,29)
(89,40,88)
(38,97,37)
(93,62,80)
(2,10,19)
(72,1,28)
(70,76,61)
(15,40,0)
(11,12,5)
(56,53,40)
(86,83,31)
(27,62,12)
(35,41,88)
(46,60,76)
(11,1,58)
(58,85,83)
(80,65,20)
(36,38,72)
(26,98,77)
(59,96,4)
(7,30,81)
(76,79,94)
(20,67,19)
(96,7,59)
(64,14,81)
(48,53,35)
(51,28,59)
(79,46,92)
(79,55,36)
(8,41,30)
(4,37,21)
(40,99,17)
(59,85,5)
(1,11,98)
(55,54,61)
(99,62,53)
(19,13,35)
(5,9,46)
(41,16,20)
(49,80,0)
(26,44,59)
(95,25,62)
(24,68,6)
(90,38,16)
(0,33,56)
(13,89,16)
(20,0,23)
(34,59,81)
(27,39,47)
(3,6,13)
(97,77,45)
(85,3,76)
(28,33,45)
(94,77,65)
(20,30,81)
(40,66,61)
(6,44,9)
(29,14,24)
(74,87,64)
(57,25,98)
(21,23,58)
(46,6,98)
(62,59,45)
(96,44,34)
(51,52,33)
(52,27,60)
(74,21,60)
(59,60,27)
(40,86,64)
(64,97,28)
(52,5,89)
(28,37,48)
(68,86,79)
(79,96,12)
(6,62,5)
(97,79,74)
(18,51,2)
(23,28,66)
(25,75,96)
(33,12,20)
(62,41,14)
(40,40,58)
(5,99,84)
(85,42,57)
(83,15,48)
(84,30,36)
(72,44,69)
(48,3,29)
(5,60,31)
(69,46,24)
(4,67,82)
(47,89,79)
(49,20,30)
(47,65,23)
(59,65,3)
(55,84,49)
(83,31,42)
(26,41,99)
(30,8,17)
(33,96,93)
(67,63,83)
(17,6,58)
(28,45,62)
(67,48,11)
(44,57,81)
(98,71,56)
(63,73,8)
(44,3,75)
(1,93,33)
(32,5,9)
(15,51,39)
(62,33,21)
(41,15,70)
(88,99,61)
(59,49,13)
(38,50,38)
(37,56,98)
(8,4,63)
(17,28,58)
(1,30,73)
(75,1,0)
(98,17,18)
(98,0,16)
(85,1,70)
(22,45,31)
(83,19,47)
(18,47,93)
(37,0,42)
(31,2,27)
(13,91,35)
(72,43,55)
(20,43,11)
(62,34,59)
(46,19,64)
(24,12,32)
(40,96,10)
(2,23,51)
(82,40,27)
(12,66,39)
(39,61,74)
(89,56,2)
(21,61,39)
(89,54,13)
(59,22,51)
(93,12,23)
(86,3,40)
(51,61,59)
(70,34,47)
(82,28,48)
(77,65,13)
(27,43,84)
(67,6,24)
(68,57,96)
(75,11,20)
(0,79,74)
