ADF	7.4659
ADP	186.167
AED	3.6731
AFA	50.25
ALL	96.643
AMD	356.97
ANG	1.8
AOA	79.011
AON	79.011
ARS	3.0794
AUD	1.2049
AWG	1.8
AZM	4573.5
AZN	0.9147
BAM	1.4411
BBD	2.02
BDT	71.242
BGN	1.4415
BHD	0.377
BIF	1092.6
BMD	1.0178
BND	1.5412
BOB	8.2903
BRL	1.9751
BSD	1.0178
BTN	44.42
BWP	6.2197
BYR	2151.5
BZD	2.0412
CAD	1.1003
CDF	437
CHF	1.2172
CLP	518.5
CNY	7.6918
COP	2089.04
CRC	537.19
CUC	0.9259
CUP	23.1481
CVE	81.218741
CYP	0.4303
CZK	20.847
DJF	183.15
DKK	5.5144
DOP	33.281
DZD	70.38
ECS	25000
EEK	11.527441
EGP	5.7544
ETB	8.7497
EUR	0.7366
FJD	1.6199
FKP	0.5045
GBP	0.5042
GEL	1.766
GHC	9624
GIP	0.5045
GMD	28.394
GNF	3561.8
GTQ	7.945
GYD	190.01
HKD	7.8173
HNL	19.633
HRK	5.404
HTG	37.626
HUF	183.54
IDR	8818.34
ILS	3.941
INR	40.622
IQD	1319
IRR	9625.1
ISK	63.0723
JMD	69.5
JOD	0.7135
JPY	120.445
KES	67.4491
KGS	41.45
KHR	4152.7
KMF	362.37248
KPW	2.2
KRW	925.326
KWD	0.2907
KYD	0.8333
KZT	124.88
LAK	9960.1
LBP	1536.88
LKR	111.009
LRD	57.5
LSL	6.93464
LTL	2.543256
LVL	0.5141
LYD	1.3172
MAD	8.3004
MDL	12.823
MGA	1912.8
MGF	9150.46
MKD	45.2221
MMK	6.6784
MNT	1165
MOP	8.3015
MRO	269.34
MTL	0.3173
MUR	30.9477
MVR	12.9162
MWK	144.93
MXN	10.80082
MYR	3.4031
MZM	26120
MZN	26.12
NAD	7.0454
NGN	132.69
NIO	18.998
NOK	6.0206
NPR	67.951
NZD	1.3579
OMR	0.386
PAB	1.034
PEN	3.2926
PGK	3.0758
PHP	47.0091
PKR	60.68
PLN	2.8093
PYG	5266.3
QAR	3.6407
ROL	24203.4
RON	2.42034
RSD	62.075
RUB	25.7703
RWF	568.13
SAR	3.7509
SBD	7.6336
SCR	6.1632
SDD	210.53
SDG	2.1053
SDP	2272.3
SEK	6.8146
SGD	1.5193
SHP	0.5737
SIT	176.513483
SKK	24.8398
SLL	3019.18
SOS	1481.2
SRD	2.78
SRG	2780
STD	13850
SVC	9.1208
SYP	54.424
SZL	6.975
THB	33.4714
TMM	5200.1
TND	1.3081
TOP	2.0747
TRL	1328250
TRY	1.32825
TTD	6.351
TWD	33.4077
TZS	1311.6
UAH	5.2237
UGX	1721
USD	1
UYU	25.008
VEB	2149.18
VND	16669
VUV	108.1
WST	2.924
XAF	483.163307
XCD	2.725
XEU	0.7366
XOF	483.163307
XPF	87.8971
YER	177.386
YUN	62.075
ZAR	6.9346
ZMK	4189.4
ZWD	258.86
 
